routename,distKM,time
Natal-São Tomé de Meliapor,7771.9,70
Natal-Negapatão,7970.39,71
Natal-Diu,7216.6,65
Natal-Mascate,6999.89,63
Natal-Macau,11788.86,104
Natal-Amboíno,11045.22,98
Natal-Socotra,5425.33,50
Natal-Bombaim,7204.28,65
Natal-Quiloa,3444.14,33
Natal-Porto,11498.5,102
Natal-Olinda,8171.05,73
Natal-São Jorge dos Ilhéus,8047.65,72
Natal-Natal - Capitania do Rio Grande,8011.8,72
Natal-Salvador,7932.92,71
Natal-Porto Seguro,7928.62,71
Natal-Rio de Janeiro,7684.69,69
Natal-Vila do Espírito Santo,7627.43,68
Quelimane-Lisboa,12617.71,111
Quelimane-Monte Pascoal - BA,9233.57,82
Quelimane-Cananor,6819.04,62
Quelimane-Ilhas Canárias,11325.92,100
Quelimane-Santiago - Cabo Verde,10156.21,90
Quelimane-Baía de Santa Helena,3316.07,31
Quelimane-Cabo da Boa esperança,3234.18,31
Quelimane-Mossel Bay,3528.56,33
Quelimane-Natal,1546.97,16
Quelimane-Ilha de moçambique,517.16,7
Quelimane-Mombaça,3194.85,30
Quelimane-Malindi,3298.51,31
Quelimane-Goa,7353.52,66
Quelimane-Calicute,6791.1,61
Quelimane-Ceuta,12601.83,111
Quelimane-Tanger,12398.61,110
Quelimane-Arzila,12431.94,110
Quelimane-Alcácer-Quibir,12480.18,110
Quelimane-Cochin,6687.8,60
Quelimane-Goa,7353.52,66
Quelimane-Tidore,11455.5,101
Quelimane-Sohar,7035.26,63
Quelimane-Trincomalee,7404.01,67
Quelimane-Malaca,9611.57,86
Quelimane-São Tomé de Meliapor,7952.68,71
Quelimane-Negapatão,8151.17,73
Quelimane-Diu,6962.06,63
Quelimane-Mascate,6745.35,61
Quelimane-Macau,12086.33,107
Quelimane-Amboíno,11342.69,100
Quelimane-Socotra,5170.79,47
Quelimane-Bombaim,6949.74,63
Quelimane-Quiloa,3189.6,30
Quelimane-Porto,12855.36,113
Quelimane-Olinda,9527.91,85
Quelimane-São Jorge dos Ilhéus,9404.51,84
Quelimane-Natal - Capitania do Rio Grande,9368.66,83
Quelimane-Salvador,9289.78,83
Quelimane-Porto Seguro,9285.48,83
Quelimane-Rio de Janeiro,9041.55,81
Quelimane-Vila do Espírito Santo,8984.29,80
Ilha de moçambique-Lisboa,13214.39,117
Ilha de moçambique-Monte Pascoal - BA,9830.24,87
Ilha de moçambique-Cananor,5138.24,47
Ilha de moçambique-Ilhas Canárias,11922.6,105
Ilha de moçambique-Santiago - Cabo Verde,10752.88,95
Ilha de moçambique-Baía de Santa Helena,3912.75,37
Ilha de moçambique-Cabo da Boa esperança,3830.86,36
Ilha de moçambique-Mossel Bay,4125.24,38
Ilha de moçambique-Natal,2143.65,21
Ilha de moçambique-Quelimane,517.16,7
Ilha de moçambique-Mombaça,1514.04,16
Ilha de moçambique-Malindi,1617.7,17
Ilha de moçambique-Goa,5672.71,52
Ilha de moçambique-Calicute,5110.29,47
Ilha de moçambique-Ceuta,13198.51,116
Ilha de moçambique-Tanger,12995.29,115
Ilha de moçambique-Arzila,13028.62,115
Ilha de moçambique-Alcácer-Quibir,13076.86,115
Ilha de moçambique-Cochin,5007,46
Ilha de moçambique-Goa,5672.71,52
Ilha de moçambique-Tidore,10293.82,91
Ilha de moçambique-Sohar,5354.45,49
Ilha de moçambique-Trincomalee,5755.87,52
Ilha de moçambique-Malaca,8013.65,72
Ilha de moçambique-São Tomé de Meliapor,6304.55,57
Ilha de moçambique-Negapatão,6503.03,59
Ilha de moçambique-Diu,5281.25,48
Ilha de moçambique-Mascate,5064.54,46
Ilha de moçambique-Macau,10879.53,96
Ilha de moçambique-Amboíno,10181,90
Ilha de moçambique-Socotra,3489.99,33
Ilha de moçambique-Bombaim,5268.93,48
Ilha de moçambique-Quiloa,1508.79,16
Ilha de moçambique-Porto,13452.04,119
Ilha de moçambique-Olinda,10124.59,90
Ilha de moçambique-São Jorge dos Ilhéus,10001.19,89
Ilha de moçambique-Natal - Capitania do Rio Grande,9965.33,89
Ilha de moçambique-Salvador,9886.46,88
Ilha de moçambique-Porto Seguro,9882.16,88
Ilha de moçambique-Rio de Janeiro,9638.23,86
Ilha de moçambique-Vila do Espírito Santo,9580.97,85
Mombaça-Lisboa,14520.13,128
Mombaça-Monte Pascoal - BA,11135.98,99
Mombaça-Cananor,4733.59,44
Mombaça-Ilhas Canárias,13228.34,117
Mombaça-Santiago - Cabo Verde,12058.62,107
Mombaça-Baía de Santa Helena,5218.49,48
Mombaça-Cabo da Boa esperança,5136.59,47
Mombaça-Mossel Bay,5430.98,50
Mombaça-Natal,3449.39,33
Mombaça-Quelimane,3194.85,30
Mombaça-Ilha de moçambique,1514.04,16
Mombaça-Malindi,105.34,4
Mombaça-Goa,4983.35,46
Mombaça-Calicute,4705.64,43
Mombaça-Ceuta,14504.25,128
Mombaça-Tanger,14301.03,126
Mombaça-Arzila,14334.35,126
Mombaça-Alcácer-Quibir,14382.6,127
Mombaça-Cochin,4602.35,42
Mombaça-Goa,4983.35,46
Mombaça-Tidore,10524.91,93
Mombaça-Sohar,4389.28,41
Mombaça-Trincomalee,5384.17,49
Mombaça-Malaca,7641.94,69
Mombaça-São Tomé de Meliapor,5932.84,54
Mombaça-Negapatão,6131.33,56
Mombaça-Diu,4491.67,42
Mombaça-Mascate,4099.37,38
Mombaça-Macau,10507.82,93
Mombaça-Amboíno,10412.1,92
Mombaça-Socotra,2524.81,25
Mombaça-Bombaim,4579.57,42
Mombaça-Quiloa,658.53,9
Mombaça-Porto,14757.78,130
Mombaça-Olinda,11430.33,101
Mombaça-São Jorge dos Ilhéus,11306.92,100
Mombaça-Natal - Capitania do Rio Grande,11271.07,100
Mombaça-Salvador,11192.2,99
Mombaça-Porto Seguro,11187.9,99
Mombaça-Rio de Janeiro,10943.96,97
Mombaça-Vila do Espírito Santo,10886.71,97
Malindi-Lisboa,14623.79,129
Malindi-Monte Pascoal - BA,11239.64,100
Malindi-Cananor,4837.25,44
Malindi-Ilhas Canárias,13332,118
Malindi-Santiago - Cabo Verde,12162.29,107
Malindi-Baía de Santa Helena,5322.15,49
Malindi-Cabo da Boa esperança,5240.26,48
Malindi-Mossel Bay,5534.64,50
Malindi-Natal,3553.05,33
Malindi-Quelimane,3298.51,31
Malindi-Ilha de moçambique,1617.7,17
Malindi-Mombaça,105.34,4
Malindi-Goa,5087.01,47
Malindi-Calicute,4809.3,44
Malindi-Ceuta,14607.91,129
Malindi-Tanger,14404.69,127
Malindi-Arzila,14438.02,127
Malindi-Alcácer-Quibir,14486.26,127
Malindi-Cochin,4706.01,43
Malindi-Goa,5087.01,47
Malindi-Tidore,10628.57,94
Malindi-Sohar,4492.94,42
Malindi-Trincomalee,5487.83,50
Malindi-Malaca,7745.61,70
Malindi-São Tomé de Meliapor,6036.51,55
Malindi-Negapatão,6234.99,57
Malindi-Diu,4595.34,42
Malindi-Mascate,4203.04,39
Malindi-Macau,10611.49,94
Malindi-Amboíno,10515.76,93
Malindi-Socotra,2628.48,25
Malindi-Bombaim,4683.23,43
Malindi-Quiloa,762.2,9
Malindi-Porto,14861.44,131
Malindi-Olinda,11533.99,102
Malindi-São Jorge dos Ilhéus,11410.59,101
Malindi-Natal - Capitania do Rio Grande,11374.74,101
Malindi-Salvador,11295.86,100
Malindi-Porto Seguro,11291.56,100
Malindi-Rio de Janeiro,11047.63,98
Malindi-Vila do Espírito Santo,10990.37,97
Goa-Lisboa,18678.8,164
Goa-Monte Pascoal - BA,15294.66,134
Goa-Cananor,407.48,6
Goa-Ilhas Canárias,17387.01,152
Goa-Santiago - Cabo Verde,16217.3,142
Goa-Baía de Santa Helena,9377.17,84
Goa-Cabo da Boa esperança,9295.27,83
Goa-Mossel Bay,9589.65,85
Goa-Natal,7608.06,68
Goa-Quelimane,7353.52,66
Goa-Ilha de moçambique,5672.71,52
Goa-Mombaça,4983.35,46
Goa-Malindi,5087.01,47
Goa-Calicute,470.89,7
Goa-Ceuta,18662.92,163
Goa-Tanger,18459.7,162
